,text,start,end,avg_logprob,no_speech_prob,words,words_start,words_end,words_len,id
0, tiene que hacerle click solamente,1.02,4.66,-0.47449232248159556,0.40842294692993164,"[' tiene', ' que', ' hacerle', ' click', ' solamente']","[1.02, 3.44, 3.64, 3.98, 4.24]","[3.44, 3.64, 3.98, 4.24, 4.66]",5,audio3
1, hazle click,5.54,7.06,-0.47449232248159556,0.40842294692993164,"[' hazle', ' click']","[5.54, 5.8]","[5.8, 7.06]",2,audio3
2, hay click,8.6,9.42,-0.47449232248159556,0.40842294692993164,"[' hay', ' click']","[8.6, 8.78]","[8.78, 9.42]",2,audio3
3, de nuevo click y lo solta,10.16,12.94,-0.47449232248159556,0.40842294692993164,"[' de', ' nuevo', ' click', ' y', ' lo', ' solta']","[10.16, 11.86, 12.16, 12.48, 12.6, 12.68]","[11.64, 12.16, 12.44, 12.6, 12.68, 12.94]",6,audio3
4, ya ve,14.66,14.88,-0.47449232248159556,0.40842294692993164,"[' ya', ' ve']","[14.66, 14.88]","[14.88, 14.88]",2,audio3
5, que nadie,15.46,16.0,-0.47449232248159556,0.40842294692993164,"[' que', ' nadie']","[15.46, 15.78]","[15.78, 16.0]",2,audio3
6, ya ahora para que avancemos dice cuánto suman las teteras y los lápices,16.44,25.38,-0.47449232248159556,0.40842294692993164,"[' ya', ' ahora', ' para', ' que', ' avancemos', ' dice', ' cuánto', ' suman', ' las', ' teteras', ' y', ' los', ' lápices']","[16.44, 20.9, 21.3, 21.54, 21.68, 22.34, 22.74, 23.46, 23.88, 24.1, 24.56, 24.76, 24.88]","[20.9, 21.3, 21.54, 21.68, 22.34, 22.74, 23.46, 23.88, 24.08, 24.56, 24.76, 24.88, 25.38]",13,audio3
7, cuánto suman chicos,25.98,26.9,-0.47449232248159556,0.40842294692993164,"[' cuánto', ' suman', ' chicos']","[25.98, 26.34, 26.7]","[26.34, 26.7, 26.9]",3,audio3
8, chicos pongan atención es,28.6,33.54,-0.37250869614737375,0.003741334192454815,"[' chicos', ' pongan', ' atención', ' es']","[28.6, 31.74, 32.64, 33.2]","[31.74, 32.64, 33.2, 33.54]",4,audio3
9, la última pregunta cuánto cuánto suma las teteras y los lápices cuántas cuándo sete teras hay?,34.42,41.64,-0.8899520471613244,0.007433160208165646,"[' la', ' última', ' pregunta', ' cuánto', ' cuánto', ' suma', ' las', ' teteras', ' y', ' los', ' lápices', ' cuántas', ' cuándo', ' sete', ' teras', ' hay?']","[34.42, 34.68, 34.9, 35.54, 36.84, 38.32, 38.66, 38.82, 39.24, 39.44, 39.54, 40.18, 40.72, 40.76, 41.0, 41.3]","[34.68, 34.9, 35.54, 36.34, 38.32, 38.66, 38.82, 39.24, 39.44, 39.54, 39.72, 40.72, 40.76, 41.0, 41.3, 41.64]",16,audio3
10, siete teteras,42.66,47.86,-1.407395398175275,0.011124986223876476,"[' siete', ' teteras']","[42.66, 47.24]","[47.24, 47.86]",2,audio3
11, entonces van a escribir el número 13,50.94,56.3,-1.407395398175275,0.011124986223876476,"[' entonces', ' van', ' a', ' escribir', ' el', ' número', ' 13']","[50.94, 53.78, 54.24, 54.34, 54.7, 54.88, 55.24]","[53.78, 54.24, 54.34, 54.7, 54.88, 55.24, 56.3]",7,audio3
